category,artifact_needed,internal_system,specific_object,why_needed,likely_owner,minimum_permission,request_path,safe_export_option,synthetic_fallback,fidelity_without_it,evidence,confidence
A. Effective runtime configuration,Per-merchant DCS feature values for test merchants,DCS (Dynamic Config Service),"namespace rzp/x/merchant/payouts/* incl. payout_workflows, enable_payout_workflow, skip_approval_workflow_for_api, skip_workflow_for_dashboard, skip_workflow_for_payroll, enable_approval_via_oauth, in_flight_reservation_enabled, PayoutModeConfig.AllowedUpiChannels, skip_ifsc_lookup, encryption feature","Approval applicability, reservation gating, IFSC lookup and payload encryption all branch on these; recurring prod bug = cache/propagation of payout_workflows","Common Platforms team (#tech_infra_dcs, #dcs-integrations); values set via admin-dashboard DCS update-requests (maker-checker)",read-only DCS query for a named merchant set (or export),Ask in #tech_infra_dcs / #dcs-integrations; writes go through admin-dashboard 'DCS config update-requests' approval flow,Yes: JSON export of the config objects for N synthetic merchants,Run a DCS stub (goutils/dcs client + mocked server) seeded with the exported values; CFA reuses the payouts DCS namespace so one stub serves both,Approval decisions unverifiable; workflow-bypass bug class not reproducible,11_slack_evidence F/J; 05_cfa.md (DCS namespace reuse); 01 #14,confirmed
A. Effective runtime configuration,Splitz experiment definitions + variant assignments,Splitz (splitz.razorpay.com),"payouts: shadow-gateway route experiments, ikey_auto_enforcement_ramp_up, ForDualWriteDirectPushToAPI, ExperimentForFtsRequestFromPayoutsService, merchant_configuration_experiment, partner_bank_on_hold, bulk_*; fts: CreateTransferMetaRollout, FireStatusUpdateKafka, ShadowModeHeaders, MarNewRoutingFlow, LimitedWebhookFlowExperiment; ledger: merchantBalanceAsyncUpdateExperiment, ledgerMakeshiftDualWriteExperiment; xperience BulkPayoutsExperiment PEVE4sUaVG6Drw","Routing (monolith vs PS), FTS webhook destination, Kafka vs HTTP status path, idempotency enforcement all depend on per-merchant variants",Splitz platform team (Growth/Platform); experiment owners = payouts/fts teams,read access to experiment definitions + evaluate API for test merchants,Ask experiment owners in #x-payouts-reliability for the experiment IDs' current variant weights; platform channel for Splitz read access (not identified — ask 'which channel owns Splitz'),Yes: export of experiment→variant→merchant cohort for synthetic merchants,Deterministic Splitz stub (goutils/splitz Twirp EvaluateAPI) returning recorded variants; client-side eval cache in payouts must be pointed at stub,Cannot reproduce which of two status paths (direct webhook vs monolith relay) a merchant is on = the exact stuck-payout mechanism,"01 #3-5; 02 #57-58; 03 §4,§9-10; 11 A",confirmed
A. Effective runtime configuration,Production TOML overlays + env-var values (non-secret) for each service,"Spinnaker/kube-manifests env config, Vault-sourced overlay (fts)","payouts config/prod.toml + env (PAYOUTS_* URLs), fts env.prod-live.toml + vault overlay, ledger prod-live.toml, x-balances/cfa prod.toml; cron cadence for /v1/cron/* endpoints","Timeouts/retries/hosts are in-repo, but env overrides, cron schedules and vault overlay values are not",Service owners (EM kumar.ayush@ pod) + Infra,read on rendered manifests / config maps for one env (stage or func),#tech_it for kube-manifests/spinacode read access; service owners for env values,Yes: sanitized rendered manifests (secrets redacted),Use in-repo prod.toml defaults; set cron cadence from runbooks or guess and mark as unverified,"Cron cadence (queued/scheduled/on_hold dispatch, reservation reconcile, dual-write failure) unknown → timing-dependent flows unverified",02 unresolved #8; 10 §1-2,confirmed
A. Effective runtime configuration,Merchant migration flag state,API monolith merchant features / DCS,payout_service_enabled / is_payout_service per merchant; PayoutWorkflows feature (dual naming via Splitz IsPayoutWorkflowsDcsNameExperimentEnabled),Determines whether a merchant's payouts execute in PS vs legacy; balance authority; FTS origin,Payouts team,read of feature table for synthetic merchants,#x-payouts-reliability,Yes,Seed synthetic merchants with flag=1 (PS path) and flag=0 (legacy) — legacy path needs monolith,Legacy-path behaviour unverifiable without monolith,11 A (2026-06-25); 01 #14,probable
B. Gateway and edge configuration,Effective Kong routes/plugins for payouts and dashboard-proxy routes,"Edge / Kong (razorpay/terraform-kong, razorpay/edge, kong-plugin-user-auth, kong-plugin-consumer-identifier)","templates/payouts-proxy-cutover (shadow service, regex_priority 2, upstream-override), basic-auth-x, upstream-jwt (passport minting: authenticated/identified claims), ip-restriction-x, rate-limiting rules for route_name * (110 rps), authz-enforcer plugin config; route list for /v1/payouts*, /merchant/api/{mode}/payouts_with_otp",Decides which upstream serves a route and what identity claims reach PS; the identification-only-passport problem lives here,"Spine-Edge team (#platform_spine_edge_oncall, #tech_infra_edge)",read on terraform-kong repo (or rendered Kong decK export for stage),#tech_it (repo read) ; #platform_spine_edge_oncall for a decK/route export,"Yes: decK dump for the payouts routes, plugins config with secrets stripped",Protocol-faithful Kong substitute: run OSS Kong with exported routes; or a minimal reverse proxy that mints the same passport JWT claims (needs JWKS),Edge→PS cutover path (flow G) cannot be reproduced; passport claim shapes must be guessed,11 B; PRs 10860-11047,confirmed
B. Gateway and edge configuration,Passport JWT signing/JWKS for edgev1 and apiv1 identities,Edge (edge-base / edge-admin-internal JWKS),"JwksHost https://edge-admin-internal.razorpay.com (ledger, xperience, banking-accounts); goutils/passport v3/v4 claim schema (authType, authenticated, identified, mode, roles, consumer, impersonation)",PS/xperience/ledger validate X-Passport-JWT-V1; env needs a signer + JWKS,Spine-Edge,JWKS for stage + ability to mint test passports (or a test signing key),#platform_spine_edge_oncall,Yes: stage JWKS is non-secret; test signer key generated locally,"Generate own keypair, serve JWKS, mint passports with recorded claim shapes (from goutils/passport source — inaccessible; need claim schema doc)",Auth-type allowlists (private/proxy/privilege/admin) unverifiable if claim shape wrong,01 #22; 07 #19,confirmed
C. Identity and authorization,Deployed AuthZ policies for X dashboard roles,razorpay/authz (Consul-synced policies; goutils/authz enforcer),"org razorpayx / 100000razorpay::banking::non_lms; roles owner, admin, finance_l1/l2/l3, view_only, operations, support, CAC granular roles; policy CSV from PR #2577 (GET /v1/payouts/schedule/timeslots); permission strings CREATE_PAYOUT, APPROVE_PAYOUT(_BULK), REJECT_PAYOUT, CANCEL_PAYOUT, VIEW_PAYOUT...",Maker/checker and role gating; open question whether banking::non_lms org is enforced for dashboard traffic,Spine-Edge / AuthZ (#platform_spine_edge_oncall),read on authz repo or policy export for org razorpayx,#tech_it (repo read); #platform_spine_edge_oncall,Yes: policy CSV export per org,Casbin policy bundle loaded into goutils/authz-compatible enforcer (xperience does this in-process) — needs the enforcer library,Role enforcement is client-side only in x SPA; server-side enforcement cannot be validated,"11 B; 07 #12,#15,#25",confirmed
C. Identity and authorization,Service-to-service Basic Auth credential inventory (names only) and monolith→PS caller identities,"Vault/HVault, Spinnaker secrets, service configs","payouts cred.{API,Workflow,Xperience,FTS,VendorPayments,Settlements,Irctc,FastCron}; fts users.{api,ps,wallet,settlement,scrooge,art,capitalcards,validx,xperinece}; ledger auth.{payouts,fts,xbalances}; cfa ACL usernames; x-balances Server.Auth.*",Env needs matching credential pairs on both sides; ACLs are per-username,Service owners,none — generate synthetic creds,n/a (synthetic),n/a,Generate credentials per pair in env; map to same usernames so ACLs match,None if usernames preserved,"01 #8,#23; 03 §2; 04; 05; 06",confirmed
C. Identity and authorization,Admin-dashboard permission → server-side enforcement mapping,API monolith admin auth + permissions (live/permissions*),"payout_status_update_manually, reject_payout, reject_payout_bulk, retry_settlement, payouts_manual_action, process_fee_recovery, settlement_bulk_update, manually_link_rbl_account_statement",Server-side revalidation of admin permissions is in the monolith (inaccessible); PS manual_action has no passport-admin check,Payouts team + Admin platform,read on api repo admin middleware,#tech_it,Doc of permission→route map,Assume monolith enforces; treat PS manual_action as reachable by any service-basic-auth caller,Admin blast radius unverifiable,08 #12-21; 02 #47,confirmed
C. Identity and authorization,Kubernetes ServiceAccounts / IAM roles for SQS/SNS/Kafka access,"kube-manifests, AWS IAM, MSK",fts kube2iam role prod-fts; others IRSA (external); SQS queues per service; SNS topics; Kafka ACLs (prod-noncde-kafka.razorpay.com:9090),Workers consume SQS/Kafka; env needs equivalent permissions,Infra / Datastores (#gandalf),list of queue/topic names + consumer groups (no creds),"#gandalf bot (Kafka ACL/topic requests: cluster, region, env, topic, consumer group, READ/WRITE/DESCRIBE); #tech_it for kube-manifests",Yes: inventory export,"LocalStack/ElasticMQ for SQS/SNS, local Kafka (docker-compose already in payouts/deployment/dev)",None material if names preserved,10 §1; 11 J,confirmed
