from,to,type,via,identity,fidelity,confidence,source_refs
cron:ledger/cmd-account-details-channel-type-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-balance-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-check-sqs-connection,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-control-tables-sync-mirror,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-create-merchant-splitaccounts,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-create-merchant-subaccounts,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-daily-penny-expense-account-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-journal-created-sns-publish,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-ledger-entries-channel-type-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-ledger-entry-balance-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-ledger-entry-details-create,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-makeshift-create-txn-from-table-name-and-id,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-makeshift-delete-cls-transactions,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-makeshift-reference3-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-makeshift-replay-cls-journal-bulk-transactions,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-makeshift-replay-cls-journal-transactions,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-makeshift-settlements-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-offboard-merchant-split-accounts,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-pg-split-account-balance-update,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-split-account-balance-update,worker:ledger/scheduler,schedules,,,real_source_running,confirmed,
cron:ledger/cmd-update-merchant-balance-subaccounts,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/cmd-verify-warm-storage,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/split-account-balance-update-cronjob-live,worker:ledger/scheduler,schedules,,,real_source_running,confirmed,
cron:ledger/split-account-balance-update-cronjob-pg-live,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/verify-warm-storage-cronjob-live,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:ledger/verify-warm-storage-cronjob-test,worker:ledger/scheduler,schedules,,,real_source_mapped_not_running,confirmed,
cron:payouts/banking_account_statement_fetch_initiate,route:payouts/POST /v1/cron/banking_account_statement/fetch/initiate,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/banking_account_statement_fetch_initiate,worker:payouts/rbl_banking_account_statement,schedules,,,real_source_running,confirmed,
cron:payouts/elasticsearch_backfill_index,route:payouts/POST /v1/cron/elasticsearch/backfill_index,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,graph_only,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/fund_management_payouts_check,route:payouts/POST /v1/cron/fund_management_payouts/check,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/payouts_dual_write_failure_processing,route:payouts/POST /v1/cron/payouts_dual_write_failure_processing,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/payouts_sla_breach_monitor,route:payouts/POST /v1/cron/payouts_sla_breach_monitor,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,graph_only,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_batch_submitted_payouts,route:payouts/POST /v1/cron/process_batch_submitted_payouts,schedules,FastCron HTTP trigger,,,confirmed,ENV2_COMPOSE/seeds/s4/cron_schedule.yaml:42-47
cron:payouts/process_batch_submitted_payouts,route:payouts/POST /v1/cron/process_batch_submitted_payouts,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_beneficiary_bank_on_hold_payouts,route:payouts/POST /v1/cron/process_beneficiary_bank_on_hold_payouts,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_inflight_reservation_reconciliation,route:payouts/POST /v1/cron/process_inflight_reservation_reconciliation,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_inflight_reservation_reconciliation,route:x-balances/GET /v1/balances/{id},reads,refreshedAt = last_fetched_at,,real_source_running,confirmed,
cron:payouts/process_queued_low_balance_payouts,route:payouts/POST /v1/cron/process_queued_low_balance_payouts,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_queued_payouts,route:payouts/POST /v1/cron/process_queued_payouts,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/process_scheduled_payouts,route:payouts/POST /v1/cron/process_scheduled_payouts,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,high_fidelity_replacement,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/reverse_dual_write,route:payouts/POST /v1/cron/reverse_dual_write,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,graph_only,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:payouts/tidb_data_consistency_check,route:payouts/POST /v1/cron/tidb_data_consistency_check,schedules,FastCron HTTP POST with [auth.fastcron] creds,identity:payouts-basic-auth:fastcron,graph_only,confirmed,payouts/internal/routing/router/cron_routes.go:12-198
cron:recon/recon-mysql-archival-service,svc:recon,schedules,,,graph_only,confirmed,
cron:x-balances/balance_fetch_per_channel,route:x-balances/POST /v1/cron/balance/{channel}/fetch,schedules,,,real_source_mapped_not_running,inferred,
db:payouts/mysql,table:payouts/bank_accounts,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/banking_account_statement,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/banking_account_statement_details,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/banking_accounts,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/bulk_idempotency_keys,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/counter_transaction,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/counters,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/duplicate_prevention_config,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/event_outbox,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/fund_accounts,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/fund_transfer_attempts_temp,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/idempotency_key_exclusions,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/idempotency_keys,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/merchant_configurations,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_attempts,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_details,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_logs,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_meta_permanent,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_meta_temporary,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_purpose,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_sources,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payout_status_details,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payouts,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/payouts_temp,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/reversals,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/settings,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/source_request_id_mapping,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/state_change_logs,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/workflow_config,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/workflow_entity_map,owns,,,real_source_running,confirmed,
db:payouts/mysql,table:payouts/workflow_state_map,owns,,,real_source_running,confirmed,
event:cfa/contact.created,queue:cfa-contact-dual-write-queue,produces,,,behavioural_placeholder,confirmed,
event:cfa/contact.updated,queue:cfa-contact-dual-write-queue,produces,,,behavioural_placeholder,confirmed,
event:cfa/fund_account.created,queue:cfa-fund-account-dual-write-queue,produces,,,behavioural_placeholder,confirmed,
event:cfa/fund_account.updated,queue:cfa-fund-account-dual-write-queue,produces,,,behavioural_placeholder,confirmed,
event:ledger/da_ext_credit,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/da_ext_credit.legacy,table:ledger/ledger_config,reads,,,graph_only,confirmed,
event:ledger/da_ext_debit,table:ledger/ledger_config,reads,,,real_source_running,confirmed,
event:ledger/da_ext_debit.legacy,table:ledger/ledger_config,reads,,,graph_only,confirmed,
event:ledger/da_ext_fee_payout_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_ext_fee_payout_reversed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_ext_payout_processed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
event:ledger/da_ext_payout_reversed,table:ledger/ledger_config,reads,,,real_source_mapped_not_running,confirmed,
