repository,visibility,archived,default_branch,last_updated,listable,searchable,cloneable,submodules_accessible,internal_dependencies_accessible,graphify_available,reason_if_blocked
razorpay/.github,public,false,master,2026-08-21T05:11:16Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/accounting-integrations,private,false,master,2026-09-03T02:48:50Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit fc13a0b2a38214374e80a16af3ed4465b2d84ef1)",n/a (no .gitmodules),partial: blocked=config-proto|goutils,no (no graphify-out/graph.json in repo),
razorpay/admin-dashboard,private,false,master,2026-09-03T12:21:14Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit e29bdf988410704c3053417e91051a0ec88cebbb)",n/a (no .gitmodules),,no (no graphify-out/graph.json in repo),
razorpay/agent-skills,private,false,master,2026-09-03T12:13:54Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit 9549b4b1a66aba6fca88e81bbf0b3cb650ee6e9f)",no: razorpay/go-foundation-v2 (NOT accessible),,no (no graphify-out/graph.json in repo),
razorpay/ai-playbook,public,false,master,2026-09-03T12:15:29Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/alohomora,public,false,master,2026-08-28T09:58:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/avas,internal,false,master,2026-09-01T21:13:24Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/banking-accounts,private,false,master,2026-09-02T10:05:52Z,yes,yes (GitHub code search returns hits for private/internal repos),"yes (verified, commit c3fc1fe8ae41a528a4a3d7ed1b0ec9dad6f98141)",n/a (no .gitmodules),partial: blocked=config-proto|goutils,no (no graphify-out/graph.json in repo),
razorpay/bhadra,public,false,master,2026-09-02T12:33:35Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/blade,public,false,master,2026-09-03T11:15:53Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
razorpay/bozo,public,true,master,2015-06-25T12:32:22Z,yes,yes (GitHub code search returns hits for private/internal repos),presumed (not attempted; repo-level read grant),unknown,unknown,unknown,
