repo:payouts | repository | razorpay/payouts
svc:payouts | service | Payouts Service (Go)
svc:payouts-workers | worker | Payouts SQS workers (cmd/workers)
svc:payouts-kafka | worker | Payouts Kafka consumer (cmd/kafkaConsumers)
repo:ledger | repository | razorpay/ledger
svc:ledger | service | Ledger Service (Twirp, tenant X)
repo:fts | repository | razorpay/fts
svc:fts | service | FTS web
svc:fts-workers | worker | FTS default-workers (machinery)
repo:cfa | repository | razorpay/cfa
svc:cfa | service | CFA (gRPC+gateway)
repo:x-balances | repository | razorpay/x-balances
svc:x-balances | service | X Balances
svc:x-balances-workers | worker | x-balances per-bank balance-fetch workers
repo:banking-accounts | repository | razorpay/banking-accounts
svc:banking-accounts | service | Banking Account Service
repo:xperience | repository | razorpay/xperience
svc:xperience | service | Xperience BFF
repo:x | repository | razorpay/x
fe:x | frontend | RazorpayX dashboard SPA (x.razorpay.com)
repo:xas | repository | razorpay/x-account-statements
svc:xas | service | XAS account statements
repo:validx | repository | razorpay/ValidX
svc:validx | service | ValidX (FAV)
repo:payout-links | repository | razorpay/payout-links
svc:payout-links | service | Payout Links
repo:vendor-payments | repository | razorpay/vendor-payments
svc:vendor-payments | service | Vendor Payments
repo:charge-collections | repository | razorpay/charge-collections
svc:charge-collections | service | Charge Collections (pricing)
repo:admin-dashboard | repository | razorpay/admin-dashboard
fe:admin-dashboard | frontend | Admin dashboard (internal)
repo:virtual-account | repository | razorpay/virtual-account
svc:virtual-account | service | Virtual Account
repo:frontend-x | repository | razorpay/frontend-x
fe:payout-links-customer | frontend | x-customer-payout-links (payee page)
repo:accounting-integrations | repository | razorpay/accounting-integrations
svc:accounting-integrations | service | Accounting Integrations
svc:api-monolith | service | API monolith (razorpay/api, PHP) — NOT ACCESSIBLE
svc:edge | gateway route | Edge / Kong (terraform-kong) — NOT ACCESSIBLE
svc:authz | AuthZ policy | AuthZ service + goutils/authz enforcer — NOT ACCESSIBLE
svc:stork | service | Stork webhooks/SMS/email — NOT ACCESSIBLE
svc:mozart | service | Mozart bank gateway — NOT ACCESSIBLE
svc:dcs | configuration source | DCS dynamic config — NOT ACCESSIBLE
svc:splitz | configuration source | Splitz experiments — NOT ACCESSIBLE
svc:shield | service | Shield risk engine — NOT ACCESSIBLE
svc:governor | service | Governor pricing rules — NOT ACCESSIBLE
svc:asv | service | Account Service (ASV gRPC) — NOT ACCESSIBLE
svc:ups | service | UPI service (UPS) — NOT ACCESSIBLE
svc:vault | service | Vault (card tokens) / HVault (secrets) — NOT ACCESSIBLE
svc:workflow | service | Workflow service (approval engine) — NOT ACCESSIBLE
svc:batch | service | Batch service — NOT ACCESSIBLE
svc:recon | service | Recon / ART — NOT ACCESSIBLE
svc:settlements | service | Settlements service — NOT ACCESSIBLE
svc:wallet | service | Wallet service — NOT ACCESSIBLE
svc:beam | service | Beam file relay — NOT ACCESSIBLE
svc:relay | configuration source | Relay config server
ext:banks | external bank/provider | Partner banks via Mozart: ICICI, Axis, RBL, IDFC, Yes Bank, HDFC, Citi, M2P, MCS, OCBC, Slice, Amazon Pay, JPMC
ext:merchant-webhook | webhook consumer | Merchant webhook endpoint
ext:merchant-api-client | identity | Merchant API client (key_id/secret Basic Auth)
id:dashboard-user | identity | Dashboard user (cookie session + CSRF; passport minted at edge)
id:service-basic-auth | identity | Service-to-service Basic Auth credentials (per caller)
role:finance-l1 | role | finance_l1 (maker)
role:finance-l2 | role | finance_l2 (checker)
role:finance-l3 | role | finance_l3 (checker)
role:owner-admin | role | owner/admin
role:view-only | role | view_only
db:payouts-mysql | datastore | Payouts MySQL (payouts, payout_details, idempotency_keys, reversals, workflow_state_map...)
db:payouts-tidb | datastore | TiDB (payouts_temp / analytical copy via WDA)
db:payouts-redis | datastore | Payouts Redis (idempotency mutex, in-flight reservations)
db:payouts-es | datastore | Payouts Elasticsearch (search index)
db:ledger-pg | datastore | Ledger Postgres rx (journal, accounts, ledger_entries, ledger_config, idempotency)
db:fts-mysql | datastore | FTS MySQL (transfers, attempts, transfer_meta, source_accounts, routing tables)
db:fts-redis | datastore | FTS Redis (machinery broker, mutex)
db:cfa-mongo | datastore | CFA MongoDB (contacts, fund_accounts, hash_lookup)
db:api-mysql | datastore | API monolith MySQL (balance, contacts, fund_accounts, bank_accounts; payouts table DELETED Aug-2026)
db:xbalances-mysql | datastore | x-balances MySQL (balance, sub_balance)
db:bas-mysql | datastore | banking-accounts MySQL (banking_account: account_number, balance_id, fts_fund_account_id)
db:xas-mysql | datastore | XAS MySQL (account_statements, accounts)
q:sqs-webhook-event | queue/topic | SQS webhook_event
q:sqs-queued-payout | queue/topic | SQS queued_payout / schedule_payout / on_hold_payout
q:sqs-async-dual-write | queue/topic | SQS async_dual_write / data_consistency_checker
q:sqs-xbalances-refresh | queue/topic | SQS x_balances_balance_refresh (x-balances → payouts)
q:sqs-xas-source | queue/topic | SQS payout/reversal source events (payouts → XAS)
q:kafka-fts-status | queue/topic | Kafka rx-fts-status-update-events (+ fts_status_updates_retry)
q:kafka-tds | queue/topic | Kafka add-tds-entry
q:sns-source-updates | queue/topic | SNS source_update_topics (vendor_payments, payout_links, settlements, xpayroll, tax_payments...)
q:sns-journal-created | queue/topic | SNS journal-created (ledger)
q:sqs-ledger-balance-update | queue/topic | SQS ledger balance_update (async non-merchant accounts)
q:kafka-payout-cdc | queue/topic | Kafka payout-kafka-topic (CDC/Maxwell shape, consumed by charge-collections)
event:payout.pending | event | payout.pending
event:payout.rejected | event | payout.rejected
event:payout.queued | event | payout.queued
event:payout.initiated | event | payout.initiated
event:payout.processed | event | payout.processed
event:payout.updated | event | payout.updated
event:payout.reversed | event | payout.reversed
event:payout.failed | event | payout.failed
event:payout.downtime.started | event | payout.downtime.started
event:payout.downtime.resolved | event | payout.downtime.resolved
flag:shadow_gateway.enabled | feature flag | shadow_gateway.enabled (prod=false)
flag:splitz:shadow-route | feature flag | Splitz per-route shadow-gateway experiment (devstack pilot TUnTsUB8Os2kX0)
flag:splitz:CreateTransferMetaRollout | feature flag | Splitz CreateTransferMetaRollout (FTS webhook → PS direct)
flag:splitz:FireStatusUpdateKafka | feature flag | Splitz FireStatusUpdateKafka (FTS status via Kafka)
