repository,service_component,role_in_payouts,lifecycle,owner_team,dependency_type,include_in_initial_environment,reason,evidence,confidence
razorpay/payouts,"Payouts Service (Go/Gin; api, workers, kafkaConsumers, migration)","Payout system of record: create/approve/queue/schedule/bulk/cancel/reversal state machine, idempotency, ledger+FTS orchestration, merchant webhooks to Stork, shadow-gateway cutover",current,@razorpay/razorpayx_payouts_be (#x-payouts-reliability),direct,YES (F3),Owns payout state and every material transition,01_payouts_core.md; 02_payouts_integrations.md; commit 4bf3dbf9,confirmed
razorpay/ledger,"Ledger Service (Go/Twirp/Postgres; api, worker, scheduler, outbox_relay)",Financial source of truth for X tenant: synchronous Journal.Create with atomic merchant-balance debit = balance authorization; payout_initiated/processed/reversed/failed accounting,current,@razorpay/ledger-team (#fin_infra_ledger),direct (sync Twirp) + SNS journal-created,YES (F3),Determines insufficient-balance rejection and money state; cannot be mocked,04_ledger.md; commit 471ff4d5,confirmed
razorpay/fts,"Funds Transfer Service (Go/Gin/machinery; web, default-workers)","Transfer execution, bank routing, attempt state machine, UTR, status webhook back to Payouts/monolith, Kafka status topic",current,FTS team (joint decomp with Payouts/CFA),direct (HTTP) + HTTP webhook + Kafka,YES (F3),Owns transfer state and the status-propagation path that produces stuck payouts,03_fts.md; commit 2a09e763,confirmed
razorpay/cfa,"Contacts & Fund Accounts (Go/gRPC+gateway/Mongo; server, worker)",Contact/fund-account system of record with API-DB read fallback and dual-write; structural validation only,current (migration),Payouts/CFA decomp team (no CODEOWNERS),direct,YES (F3),Beneficiary identity for every payout; tenant isolation by merchant_id filter,05_cfa.md; commit d488558e,confirmed
razorpay/x-balances,"X Balances (Go/gRPC+gateway/MySQL; server, worker)","Source-account selection (ListAccounts/MAR), banking balance mirror via Mozart polling, ledger-enriched sub-balances, BalanceRefreshEvent for in-flight reservation, API-DB fallback",current (migration),Business Banking pod (EM kumar.ayush@),direct + SQS,YES (F3),Selects the debit account and feeds reservation release; three-way balance source,06_balances_banking_accounts.md; commit 1a21c0f9,confirmed
razorpay/ValidX,Fund Account Validation service (Go/gRPC+gateway/MySQL/SQS),"Penny/paisa drop, penniless, RPD validation; Payouts gates on FAV freshness",current,"ValidX pod, BU RazorpayX Payouts",direct,"YES (F3) for FAV-gated flows, else F2",Beneficiary validation is a listed must-not-mock control,09_variants_public_api.md; 15 (pending); commit 40f181b6,probable
razorpay/banking-accounts,Banking Account Service (Go/Gin/MySQL/Kafka),Current-account onboarding; owns account_number↔balance_id↔fts_fund_account_id linkage and bank credentials metadata; legacy balance creation via monolith,current (migration),@harshitsidhwa @flanker-23; Business Banking pod (EM sagar.gupta@),direct,F2 (seeded data) / F3 if onboarding in scope,Payout flows only read its linkage; onboarding is out of first scope,06_balances_banking_accounts.md; commit c3fc1fe8,confirmed
razorpay/xperience,X Experience BFF (Go/gRPC-gateway),"Dashboard BFF: bulk-payout lifecycle owner (upload→validate→approve→Batch), petty-cash payout create via monolith, PSClient reads; Casbin authz in-process",current,@razorpay/xperience-devs,direct,YES (F3) for bulk env; F0 for single-payout env,Bulk payouts cannot be executed without it,07_frontend_bff.md; commit 88729560,confirmed
razorpay/x,RazorpayX merchant dashboard SPA (React),Merchant entrypoint: create/approve/reject/cancel/bulk/links; permission gating client-side; cookie+CSRF to dashboard.razorpay.com,current,@razorpay/mandatoryxreviewers; @razorpay/tech-banking (RBAC file),direct (HTTP via dashboard host),"YES (F3, Playwright e2e) or F2 (HTTP replay)",Entry point of flow A; permissions are client-side only,07_frontend_bff.md; commit 40b093f9,confirmed
razorpay/x-account-statements,XAS (Go/gRPC-gateway/MySQL/SQS/Kafka),"Bank-statement ingestion via Mozart, UTR matching to payout/reversal source events (SQS), statement→entity link dual-write to monolith; input to ART recon",current,@razorpay/xas-recon-devs (#rx-recon),event (SQS consumer) + direct (payouts→XAS client),F2 (contract stub) in env 1; F3 in recon env,Observes + links; does not mutate payout status,08_downstream_admin.md; commit e73fd5ae,confirmed
