source	predicate	target	purpose
fts	DEPENDS_ON	x-account-statements	FTS retry preprocessor checks account statements (XAS) to detect whether a transfer already landed before retrying.
payouts	DEPENDS_ON	cfa	Payouts resolves and validates beneficiary contacts and fund accounts (bank account, VPA, card, wallet) from CFA.
payouts	DEPENDS_ON	fts	Payouts initiates the bank transfer (HTTP POST /transfer) through FTS, which routes and dispatches it to partner banks.
payouts	DEPENDS_ON	x-balances	Payouts checks/validates the merchant Virtual Account balance during payout creation and queued-payout processing.
validx	DEPENDS_ON	cfa	ValidX resolves the beneficiary fund account from CFA during validation creation, before selecting a gateway. Skipped for reverse penny drop, where the VPA comes from the payer flow.
validx	DEPENDS_ON	fts	ValidX uses FTS as a validation gateway for pennydrop and paisadrop, transferring a small amount to the beneficiary and completing on the FTS webhook. FTS is also the fallback gateway when Citi or Slice penniless fails.
validx	DEPENDS_ON	x-balances	ValidX associates the merchant balance during validation creation so the validation fee can be charged to the correct funding account.
x-account-statements	DEPENDS_ON	payouts	XAS consumes payout/reversal source events from the Payout Service (via SQS) to enrich statements by UTR/GRN/CMS matching.
validx	HAS_CONTRACT	citi-webhook-contract	
validx	HAS_CONTRACT	fts-webhook-contract	
validx	HAS_CONTRACT	routing-api-contract	
validx	HAS_CONTRACT	validation-grpc-api	
virtual-account	HAS_CONTRACT	va-webhook-events	
cfa	HAS_ENTITY	cfa-contact	
cfa	HAS_ENTITY	cfa-fund-account	
fts	HAS_ENTITY	fts-channel	
fts	HAS_ENTITY	fts-gateway	
fts	HAS_ENTITY	fund-transfer	
payouts	HAS_ENTITY	merchant-config	
payouts	HAS_ENTITY	payout	
payouts	HAS_ENTITY	payout-transaction	
payouts	HAS_ENTITY	wallet-account-type	
validx	HAS_ENTITY	gateway-routing-rule	
validx	HAS_ENTITY	ifsc-bank-mapping	
validx	HAS_ENTITY	rpd-ledger	
validx	HAS_ENTITY	validation	
validx	HAS_ENTITY	validation-attempt	
validx	HAS_ENTITY	validation-beneficiary-data	
validx	HAS_ENTITY	validation-cache-info	
validx	HAS_ENTITY	validation-status-detail	
virtual-account	HAS_ENTITY	order-va-mapping	
virtual-account	HAS_ENTITY	va-account	
virtual-account	HAS_ENTITY	va-bank-account	
virtual-account	HAS_ENTITY	va-credit	
virtual-account	HAS_ENTITY	va-vpa	
x-account-statements	HAS_ENTITY	account-statement	
x-account-statements	HAS_ENTITY	statement-transaction	
x-balances	HAS_ENTITY	x-balance	
cfa	HAS_FAILURE_MODE	cfa-data-integrity-degradation	
cfa	HAS_FAILURE_MODE	cfa-fund-account-validation-surge	
cfa	HAS_FAILURE_MODE	cfa-service-degradation	
fts	HAS_FAILURE_MODE	fts-bene-bank-downtime	
fts	HAS_FAILURE_MODE	fts-gateway-degradation	
fts	HAS_FAILURE_MODE	fts-stuck-transfers	
fts	HAS_FAILURE_MODE	fts-success-rate-drop	
payouts	HAS_FAILURE_MODE	payouts-4xx-spike	
payouts	HAS_FAILURE_MODE	payouts-5xx-error-rate	
payouts	HAS_FAILURE_MODE	payouts-not-reaching-fts	
payouts	HAS_FAILURE_MODE	payouts-queue-lag	
payouts	HAS_FAILURE_MODE	payouts-sla-breach-stuck	
virtual-account	HAS_FAILURE_MODE	va-create-failure	
virtual-account	HAS_FAILURE_MODE	va-credit-processing-degradation	
virtual-account	HAS_FAILURE_MODE	va-external-client-failure	
virtual-account	HAS_FAILURE_MODE	va-service-unavailable	
x-account-statements	HAS_FAILURE_MODE	xas-fallback	
x-account-statements	HAS_FAILURE_MODE	xas-missing-statements	
x-account-statements	HAS_FAILURE_MODE	xas-yesbank-statement-fetch-failure	
x-balances	HAS_FAILURE_MODE	x-balances-dual-write-mismatch	
x-balances	HAS_FAILURE_MODE	x-balances-service-degradation	
