id,kind,label,owner_domain,criticality,fidelity,twin_ref,repo,sha,identity_model,build,health,fidelity_evidence,confidence,lanes,source_refs
cron:batch/batch-shutdown-recovery-cronjob,cron,batch shutdown-recovery CronJob (the ONLY un-suspended CronJob across all 13 charts),batch,P1,graph_only,,,,,,,no batch runtime in the twin,confirmed,external-config-deploy,kube-manifests/templates/batch/templates/
cron:fts/fetch_healthy_balance,cron,Fetch healthy balance cron ([cron.fetch_healthy_balance_cron] 300s; canary only; check_transfer_status worker init),fts,P2,behavioural_placeholder,worker:fts/check_transfer_status,,,,,,gocron inside worker/web process; INSTANCE_TYPE=canary gate not set in twin so canary-gated crons do not fire,confirmed,fts-mozart,fts/internal/account/fetch_healthy_balance_cron.go:16-33;fts/config/env.default.toml:9506-9510;fts/internal/bootstrap/worker.go:25
cron:fts/longer_bank_degradation_alert,cron,Longer bank degradation alert cron (web canary pods; [longer_bank_degradation_alert_cron]),fts,P2,behavioural_placeholder,svc:fts-web,,,,,,gocron inside worker/web process; INSTANCE_TYPE=canary gate not set in twin so canary-gated crons do not fire,confirmed,fts-mozart,fts/internal/channel/cron.go:151-170;fts/internal/bootstrap/bootstrap.go:84-87
cron:fts/schedule_sync,cron,Bank schedule synchronisation every 300s (initiate_transfer worker init),fts,P1,behavioural_placeholder,worker:fts/initiate_transfer,,,,,,gocron inside worker/web process; INSTANCE_TYPE=canary gate not set in twin so canary-gated crons do not fire,confirmed,fts-mozart,"fts/internal/channel/schedule_sync.go:18,60-75;fts/internal/bootstrap/worker.go:23"
cron:fts/stuck_payouts,cron,Stuck transfers/attempts re-initiate (leader-elected; INSTANCE_TYPE=canary; [cron.stuck_payouts_cron]; windows [stuck_payouts_re_initiate.*] FROM/TO minutes; modes IMPS/UPI),fts,P1,behavioural_placeholder,worker:fts/initiate_transfer,,,,,,gocron inside worker/web process; INSTANCE_TYPE=canary gate not set in twin so canary-gated crons do not fire,confirmed,fts-mozart,fts/internal/stuckpayouts/cron.go:45-77;fts/internal/transfer/stuck_payouts.go:1;fts/config/env.default.toml:9796-9830;fts/internal/bootstrap/worker.go:23
cron:fts/test_transactions,cron,Synthetic bank health test transactions every 180s (test_transactions worker; [test_transactions_config] -> API monolith /v1/payouts_internal),fts,P2,real_source_mapped_not_running,,,,,,,host worker not running in twin,confirmed,fts-mozart,fts/internal/testtransactions/test_transactions.go:22-33;fts/config/env.prod-live.toml:333-334
cron:ledger/cmd-account-details-channel-type-update,cron,ledger scheduler command `account-details-channel-type-update` -- backfill account_details channel type,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/account_detail_channel_type_update.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-balance-update,cron,ledger scheduler command `balance-update` -- REPAIR: re-run balance updates for given journal/transactor ids,ledger,P1,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/balance_update_script.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-check-sqs-connection,cron,ledger scheduler command `check-sqs-connection` -- SQS connectivity probe,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/check_sqs_connection.go;ledger/cmd/scheduler/main.go:19-60
cron:ledger/cmd-control-tables-sync-mirror,cron,ledger scheduler command `control-tables-sync-mirror` -- sync control tables to the mirror DB,ledger,P2,real_source_mapped_not_running,,repo:ledger,471ff4d5321b6b99a7965882d18f572a1adf5194,,,,ENV2_COMPOSE/docker-compose.yml:1130 sets exactly this command; every other command is source-mapped only. Production cadence is unknown for all of them (only 4 CronJobs exist and all are suspended).,confirmed,money-and-statements,ledger/internal/common/constant.go:905-926;ledger/internal/scheduled_jobs/base.go:264-330;ledger/internal/scheduled_jobs/control_tables_sync_mirror.go;ledger/cmd/scheduler/main.go:19-60
