family,component_or_path,production_mechanism,production_evidence,twin_mechanism,twin_file,verdict_today,target_tier,controls,what_differs,fix_from_repo_alone,external_artifact_needed,lane
api_monolith,create_fta/{id} payout lookup,Direct 2nd-MySQL-connection SELECT into PS's own DB by payout id (getPayoutsServiceConnection),api/app/Models/Payout/Repository.php:5313-5323; Core.php:8461-8530,"Brute-force: mint a passport per seeded merchant, GET PS /v1/payouts/pout_{id} until one answers 200",ENV2_COMPOSE/substitutes/monolith-stub/server.py:276-293,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,"tenant,routing",Cost (O(n) mint+HTTP vs O(1) SQL); determinism (loops/404s on unseeded merchant vs always resolves); passport mint invoked in twin but never in prod for this route,yes,none,01
api_monolith,create_fta FTS request body,"Full FundTransfer::makeRequestUsingType — product/purpose branching, merchant_category, request_meta, MCC, onboarded_time, 2FA block, is_batch","api/app/Models/Payout/Initiator.php (FundTransfer::makeRequestUsingType, not fully re-read this pass)","Minimal fixed body: product, merchant_id, transfer.{amount,source_id,source_type,preferred_mode[,preferred_source_account_id]}, account.fund_account_id",ENV2_COMPOSE/substitutes/monolith-stub/server.py:306-320,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,routing,"Missing narration, initiate_at, preferred_channel, merchant_category, request_meta, 2FA — irrelevant to golden-path status transitions but matters for FTS-side routing/channel-selection tests",yes,none,01
api_monolith,create_fta sync-then-async-fallback on FTS timeout,"1s sync timeout, swallow-and-requeue via Initiator, response still success-shaped",api/app/Models/Payout/Initiator.php (not opened in full this pass; behaviour per prior finding + doc-comment cross-check),Any non-200/201 FTS response treated as hard visible error in own return,ENV2_COMPOSE/substitutes/monolith-stub/server.py,INCORRECT,CONTRACT-FAITHFUL SUBSTITUTE,"payout_state,merchant_visible_state","Twin surfaces failures production hides from PS (safer-than-production, not faithful); a test asserting 'PS sees an error when FTS is slow' would pass in twin, fail against real behaviour",partial,"read of Initiator.php + its queue worker (in-repo, unread this pass — budget gap not a genuine repo gap)",01
api_monolith,update_fts_fund_transfer status/detail relay,"Details-then-status ordering, exact field sets, single-attempt no-retry, per-account-type/channel FAILED map","api/app (§2 of lane01 report, route-level; PayoutService relay classes)","Same ordering, same field sets, single-attempt PATCH+POST, same simplified FAILED map (direct→failed else→reversed)",ENV2_COMPOSE/substitutes/monolith-stub/server.py,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE,"payout_state,transfer_state,reversal","Only channels outside {RBL,ICICI,AXIS,YESBANK,IDFC} on a DIRECT balance would diverge; arena only ever seeds RBL so gap is dormant",yes,none,01
api_monolith,dual_write,"Queue-backed, 5 retries, response {""status"":""success""}, PS→monolith-local-table upsert direction",api/app/Models/Payout/Core.php:10273,"Synchronous log-sink, response {""status"":""queued""}, optional forced-fail mode",ENV2_COMPOSE/substitutes/monolith-stub/server.py,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,"idempotency,repair","Response field value wrong (""queued"" vs ""success""); no async/retry semantics; no local-table write exists to observe divergence against (twin has no monolith payouts table)",yes,none,01
api_monolith,source_update,"Async queue dispatch to downstream source-subscribers, unconditional {""sources_updated"":true}","api/app (§2, route-level; class not fully re-read)","Synchronous log-sink, same literal response",ENV2_COMPOSE/substitutes/monolith-stub/server.py,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE,none,Response shape only; no async side-effect modeled (none to diverge on),yes,none,01
api_monolith,status_details_source_update,Returns list of subscriber/source types notified,"api/app (§2, route-level)",Echoes the request's own source_id values back,ENV2_COMPOSE/substitutes/monolith-stub/server.py,INCORRECT,CONTRACT-FAITHFUL SUBSTITUTE,none,"Field values are semantically wrong, not just simplified",yes,none,01
api_monolith,deduct_credits,"Stateful, idempotent, can reduce fees/tax via real credit ledger","api/app (§2/§3, Credits subsystem, not fully re-read)","Static echo, credits_used always false",ENV2_COMPOSE/substitutes/monolith-stub/server.py,INCORRECT,CONTRACT-FAITHFUL SUBSTITUTE,"fees,idempotency,balance",No statefulness/idempotency; no fee/tax reduction possible for credit-based-fee-waiver test paths,partial,"Credits subsystem contract (in-repo, not fully read this pass)",01
api_monolith,reverse_credits,"Idempotent, validated (5 required fields)",api/app (§2),"Unconditional success, no validation",ENV2_COMPOSE/substitutes/monolith-stub/server.py,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,balance,"No idempotency guard, no field validation",yes,none,01
api_monolith,fetch_pricing_info,"7 required fields incl. channel/method/amount, real pricing engine",api/app/Models/Payout/Validator.php:666-679,"4 fields read, static per-(merchant,mode) plan lookup",ENV2_COMPOSE/substitutes/monolith-stub/server.py,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,"fees,balance",Channel/method/amount-sensitive pricing not reproducible; structurally impossible to trigger since fields aren't read,yes,none,01
api_monolith,decrement_free_payouts,"Keyed by balance_id, null-return for non-banking balances","api/app (§2; CounterHelper class, not located by name this pass)","Keyed by merchant_id, no balance-type branch",ENV2_COMPOSE/substitutes/monolith-stub/server.py,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,balance,Counter identity key differs; could double-count across a merchant's multiple balances,partial,"CounterHelper::fetchCounterAndDecreaseFreePayoutsConsumed exact response shape (in-repo, unread this pass)",01
api_monolith,"free_payout_rollback, payouts_service/create, payouts_service/create_ledger","Exist as routes, not modeled by twin","api/app/Http/Route.php (route table, §2)",No route registered,ENV2_COMPOSE/substitutes/monolith-stub/server.py,MISSING,MISSING,none,Entire endpoints absent; low materiality unless golden run exercises migration/ledger-entry tooling via these paths,yes,none,01
api_monolith,internal/merchants/{id},"Rich response, but PS parses only merchant+merchant_detail (2 nested objects, ~20 fields total)",api/app/Http/Route.php:19404-19405 (allowlist); UserController.php,Seed JSON matches those ~20 fields exactly; adds extra top-level keys PS ignores,ENV2_COMPOSE/seeds/monolith/misc.json,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE,tenant,"Extra unused fields are inert, not a real drift for PS",yes,none,01
api_monolith,internal_balances_queued,"Local balance table, synced from ledger by an unread journal-created consumer","finding 20 §9 (Merchant\Balance\Service::fetchBalancesForBalanceIds, not independently re-read this pass)",Reads ledger-api directly (documented substitution),ENV2_COMPOSE/substitutes/monolith-stub/server.py:329-338,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,balance,Freshness/consistency semantics of the real journal-consumer are unknown and unmodeled either way (self-disclosed by stub's own comment),partial,journal-created consumer behaviour (unread/unconfirmed by any report so far),01
api_monolith,"actor_info_internal, users_internal","Exist (multiple_users_fetch_internal, fetch_actor_info_internal), allowlisted for PS, dynamic role/entity derivation","api/app/Http/Route.php:2896,2963,19379-19426; UserController.php:413-418,847-854; User/Service.php:3461-3469,5373-5397","Exist in stub, static fixed-role seed data",ENV2_COMPOSE/substitutes/monolith-stub/server.py,REPRESENTATIVE,CONTRACT-FAITHFUL SUBSTITUTE,none,"Role derivation mechanism, not just data volume",yes,none,01
api_monolith,banking_account_statement/payout_update (inbound BAS recon),"Exists, PS-only caller, FAILED-local→reverse / PS-owned→forward","api/app (§2, route-level)",No route in stub,ENV2_COMPOSE/substitutes/monolith-stub/server.py,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,reversal,Entire endpoint absent,yes,none,01
api_monolith,payouts_service/* auth,"Static per-service HTTP Basic Auth, no merchant header",api/app/Http/Route.php ($internalApps['payouts_service'] block),"No merchant header for these routes' auth either; only create_fta PS-lookup workaround mints a passport, which production never does here",ENV2_COMPOSE/substitutes/monolith-stub/server.py:276-293,CONTRACT-FAITHFUL,CONTRACT-FAITHFUL SUBSTITUTE,"auth,tenant","The mint step is pure arena workaround machinery, not a production auth step (auth mechanism itself is faithful)",yes,none,01
api_monolith,Monolith ingress POST /v1/payouts,"PayoutController::postFundAccountPayout — auth, IP filter, idempotency, Splitz direct-gate, classic validations, proxy to PS","api/app/Http/Controllers/PayoutController.php; api/app/Services/PayoutService/Create.php:133-186,208-219",kong-lite mints a passport JWT directly from merchant-key Basic-Auth lookup and routes straight to payouts-api:9400,ENV2_COMPOSE/substitutes/kong-lite/server.py,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,"auth,idempotency,balance,routing","No middleware stack at all: no IP filter, no idempotency_keys table/mutex/replay, no Splitz gate, no classic validations, no Shield, no fund-account/contact/pricing enrichment",yes,none,02
api_monolith,Public-API idempotency (idempotency_keys),"idempotency_keys table, (idempotency_key, merchant_id) unique, mutex+hash-compare, cached-response replay","api/app (Repository.php, §2 of lane02 report)",None — kong-lite has no idempotency concept,ENV2_COMPOSE/substitutes/kong-lite/server.py,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,idempotency,Twin relies entirely on whatever idempotency PS itself enforces on /v1/payouts root; monolith's client-facing dedup/replay semantics untested,yes,none,02
api_monolith,Splitz direct-cutover gate (DirectToPayoutsServiceGate),shouldDivert() — live-mode/app-auth/body-mid/Splitz checks,"api/app/Services/PayoutService/Create.php:133-186,208-219","Twin always goes 'direct,' unconditionally, for every request",ENV2_COMPOSE/substitutes/kong-lite/server.py,MISSING,CONTRACT-FAITHFUL SUBSTITUTE,routing,Twin cannot exercise the classic (business-logic-first) path at all; only the always-diverted shape is tested,yes,none,02
dashboard_bff,"Dashboard-originated create/approve/reject/bulk (payouts_with_otp, payouts/{id}/approve, /reject, /approve|reject/bulk)","dashboard PHP proxy (ApiRequestAny) mints rzp_<mode>_<mid>+shared-secret Basic-Auth and X-Dashboard-User-* headers from Laravel session; monolith enforces finance_l1/l2/l3 role, mandatory OTP (Raven)",dashboard/app/Admin/ApiRequestAny.php:141-503,None,n/a,MISSING,REPRESENTATIVE SUBSTITUTE,"auth,tenant,approval","No dashboard, no session, no role enforcement, no OTP at all",yes,none,02
api_monolith,ICICI 2FA (payouts/2fa/*),"FTS-issued OTP, pending-then-approve state machine",api/app (§2 route-level; no independent caller located in-repo),None,n/a,MISSING,REPRESENTATIVE SUBSTITUTE,approval,Entire OTP state machine absent,partial,"caller identification for payouts/2fa/create[_internal], /send_otp, payouts_internal_direct (no caller found in any of 13 repos read)",02
