repository,kind,sha,commit_date,dirty,language,clone_path,origin,role_in_payouts,access,integrity,working_files
razorpay/ValidX,repository,40f181b6d874abece2ec5cdd88d6fd9e4bb533b3,2026-07-21T22:25:12Z,False,go,/Users/rana.singh/rzp-payouts-clones/ValidX,https://github.com/razorpay/ValidX.git,"Penny/paisa drop, penniless, RPD validation; Payouts gates on FAV freshness",cloned,intact,688
razorpay/accounting-integrations,repository,fc13a0b2a38214374e80a16af3ed4465b2d84ef1,2026-09-03T08:18:48+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/accounting-integrations,https://github.com/razorpay/accounting-integrations.git,Consumes vendor-payments payout status topic; writes sync_status only,cloned,intact,1859
razorpay/admin-dashboard,repository,e29bdf988410704c3053417e91051a0ec88cebbb,2026-09-03T17:42:28+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/admin-dashboard,https://github.com/razorpay/admin-dashboard.git,"Force status update, reject/cancel, retry, manual_action (processed→processing, workflow approve/reject, redis), FTA update, fee recovery, statement manual link",cloned,intact,5074
razorpay/agent-skills,repository,9549b4b1a66aba6fca88e81bbf0b3cb650ee6e9f,2026-09-03T17:40:10+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/agent-skills,https://github.com/razorpay/agent-skills.git,Contains repo-skill docs used by lanes; architecture facts partly stale (ledger Kafka claim),cloned,intact,8941
razorpay/alert-rules,repository,c372beabedf833a2a2c7aec862a4f78ce19e5d00,2026-09-04T17:04:46+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/alert-rules,https://github.com/razorpay/alert-rules.git,Prometheus alert rules,cloned,intact,3340
razorpay/api,repository,2d665f918b60e917ec92be648fb5816d247f72b1,2026-09-04T16:24:09+05:30,True,php,/Users/rana.singh/rzp-payouts-clones/api,https://github.com/razorpay/api.git,"Edge→API→PS proxy layer today; dashboard authenticate (IP allowlist, merchant_users membership), payouts_internal/internalContactPayout routes for variants, /v1/update_fts_fund_transfer legacy FTS web",cloned,intact,13169
razorpay/authz,repository,8687f48f0b760b6bab6c711133079d4b534d391b,2026-09-04T13:45:24+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/authz,https://github.com/razorpay/authz.git,"X dashboard role policies (finance_l1/l2/l3, view_only), PR 2577 pilot policies for payouts timeslots route",cloned,intact,1755
razorpay/banking-accounts,repository,c3fc1fe8ae41a528a4a3d7ed1b0ec9dad6f98141,2026-09-02T09:47:48Z,False,go,/Users/rana.singh/rzp-payouts-clones/banking-accounts,https://github.com/razorpay/banking-accounts.git,Current-account onboarding; owns account_number↔balance_id↔fts_fund_account_id linkage and bank credentials metadata; legacy balance creation via monolith,cloned,intact,902
razorpay/batch,repository,3839dd77d061422c144b7409af401415d598c54b,2026-09-04T11:42:38+05:30,False,java,/Users/rana.singh/rzp-payouts-clones/batch,https://github.com/razorpay/batch.git,Batch service (bulk payouts),cloned,intact,1571
razorpay/business-verification-service-sdk-go,repository,fdc41fa46fd65bd0cd6cc43255ba721c8e675e14,2026-08-20T13:00:29+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/business-verification-service-sdk-go,https://github.com/razorpay/business-verification-service-sdk-go.git,BVS SDK,cloned,intact,631
razorpay/cfa,repository,d488558e162c08e9fa04dff005f27d846ce88ad2,2026-07-16T10:18:56+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/cfa,https://github.com/razorpay/cfa.git,Contact/fund-account system of record with API-DB read fallback and dual-write; structural validation only,cloned,intact,627
razorpay/charge-collections,repository,412816c70d569abd9a8220a4c320a994ceec2883,2026-09-02T16:51:34+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/charge-collections,https://github.com/razorpay/charge-collections.git,Fee engine used by payouts via ccSdk (Governor+CC); creates its own fee-recovery payouts via internalContactPayout; consumes payout-kafka-topic,cloned,intact,1283
razorpay/config-proto,repository,a6b201039f22cc543efb740eba9dd72fd29474b0,2026-09-04T12:29:23+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/config-proto,https://github.com/razorpay/config-proto.git,DCS schema (rzp/x/merchant/payouts/*),cloned,intact,7178
razorpay/dashboard,repository,60ed3c781ded186ad38c41ea8f9fc90b7f3cd7c3,2026-09-03T16:55:17+05:30,False,php,/Users/rana.singh/rzp-payouts-clones/dashboard,https://github.com/razorpay/dashboard.git,Hosts X federated bundle under /banking/*; no native payout create; generic /merchant/api proxy,cloned,intact,38465
razorpay/data-mcp,repository,b4de7d692b9a24add07cf9da036574adcbfe92ed,2026-07-23T02:29:01+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/data-mcp,https://github.com/razorpay/data-mcp.git,—,cloned,intact,4
razorpay/dcs,repository,fca59e3e68305683b94b8042ab64e2b9845ecd29,2026-09-03T19:20:19+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/dcs,https://github.com/razorpay/dcs.git,"Merchant feature flags incl. payout_workflows, skip_* flags, in_flight_reservation_enabled, skip_ifsc_lookup",cloned,intact,850
razorpay/devstack,repository,bd100116f48e77832dc750a27a20e633cb96929a,2025-07-24T03:02:08+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/devstack,https://github.com/razorpay/devstack.git,,cloned,intact,120
razorpay/edge,repository,da9ff5b22b7d0e4dbecfba5d3305ff8469c60de0,2026-09-02T19:27:50+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/edge,https://github.com/razorpay/edge.git,Edge gateway code,cloned,intact,1147
razorpay/error-mapping-module,repository,53ce867663a1ea4a77c1374e134fad4f19815ad1,2026-09-04T14:28:33+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/error-mapping-module,https://github.com/razorpay/error-mapping-module.git,Error mapping lib,cloned,intact,129
razorpay/frontend-x,repository,efe5df3d26ec5bfaef69b8cb66fb558674cd960f,2026-07-10T22:13:24+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/frontend-x,https://github.com/razorpay/frontend-x.git,Payee-side payout-link fulfilment via public API with OTP,cloned,intact,811
razorpay/fts,repository,2a09e763116db47a2f28553c677ad73ef8133ebf,2026-09-01T18:35:30+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/fts,https://github.com/razorpay/fts.git,"Transfer execution, bank routing, attempt state machine, UTR, status webhook back to Payouts/monolith, Kafka status topic",cloned,intact,1748
razorpay/go-foundation-v2,repository,ce72f28adabda148c02451dbbd34ac73939036ba,2026-07-13T21:22:12+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/go-foundation-v2,https://github.com/razorpay/go-foundation-v2.git,Foundation service template,cloned,intact,79
razorpay/goutils,repository,efc794188bbd12318602763b8e8cc321e1793309,2026-09-03T11:14:35+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/goutils,https://github.com/razorpay/goutils.git,"Shared Go libs: passport, authz, dcs, splitz, worker, kafka, spine, wda, telemetry",cloned,intact,2984
razorpay/governor,repository,875eabaf2d5f6be5b7fcffcdb2047cfc8e28050c,2026-09-04T00:08:29+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/governor,https://github.com/razorpay/governor.git,Fee rule evaluation via ccSdk,cloned,intact,703
razorpay/governor-executor,repository,1bd640c2a27756d7d62763bbb359f1fa7babbe7c,2026-09-02T09:38:09Z,False,go,/Users/rana.singh/rzp-payouts-clones/governor-executor,https://github.com/razorpay/governor-executor.git,Governor rules executor,cloned,intact,310
razorpay/knowledge-base,repository,70f78efa8b269398df392998b0b7f7c63c968607,2026-09-01T19:37:07+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/knowledge-base,https://github.com/razorpay/knowledge-base.git,Existing knowledge graph for 6 payouts services,cloned,intact,6339
razorpay/kube-manifests,repository,9226a892fd767b0e31dd4282b0b4919298f53fda,2026-09-04T16:10:35+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/kube-manifests,https://github.com/razorpay/kube-manifests.git,"Rendered manifests, CronJobs, env vars",cloned,intact,19426
razorpay/ledger,repository,471ff4d5321b6b99a7965882d18f572a1adf5194,2026-09-02T18:58:57+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/ledger,https://github.com/razorpay/ledger.git,Financial source of truth for X tenant: synchronous Journal.Create with atomic merchant-balance debit = balance authorization; payout_initiated/processed/reversed/failed accounting,cloned,intact,929
razorpay/ledger-sdk,repository,2eae8920c73ca592a16130d2b15707ed1e7f277f,2026-07-29T21:55:09+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/ledger-sdk,https://github.com/razorpay/ledger-sdk.git,Ledger client used by payouts,cloned,intact,533
razorpay/markdown-docs,repository,ab3bda5f11c308034b2089df532df1064db1df7c,2026-04-09T20:00:00+05:30,False,other,/Users/rana.singh/rzp-payouts-clones/markdown-docs,https://github.com/razorpay/markdown-docs.git,"Public contract for /v1/payouts, statuses, webhooks, idempotency",cloned,intact,2220
razorpay/memoir,repository,2fc93c6630102261a3b7ca000a9904a3dce19f5b,2026-07-23T05:25:17+05:30,False,go,/Users/rana.singh/rzp-payouts-clones/memoir,https://github.com/razorpay/memoir.git,Generic tooling,cloned,intact,57
razorpay/mozart,repository,bf4688300d4896500fb9e9f422ee28d80d81b6e6,2026-09-03T22:12:53+05:30,True,go,/Users/rana.singh/rzp-payouts-clones/mozart,https://github.com/razorpay/mozart.git,"All bank protocol adapters for FTS transfers, x-balances polling, XAS statements",cloned,intact,26269
