component,route_family,implementation_kind,max_confidence,material_difference,source_refs,local_implementation,patch_classification,behavior_change_risk,verification_status,next_evidence
Payouts API,create/read/state/accounting,real,source-confirmed binary; end-to-end confidence bounded by substitutes,Fresh pinned real binary with explicit DCS and Stork transport patches; local configs and dependencies differ,payouts@4bf3dbf9239feadea6d65ca90c893a988e116173; reports/implementation/BUILD_PROVENANCE.md,ENV2_COMPOSE/build/build-host.sh; ENV2_COMPOSE/docker-compose.yml,build_wiring + explicit_behavior_changes,"Real business paths can still be affected by fixture gates, auth shaping and downstream substitutes","Replay19/20 each26/0/0 and strict comparison passed; final boot20 route6, bank6 and golden passed; corresponding audits passed exit0/outside0",Broader unimplemented route families and production policy/deployment parity
Payouts workers,queued/scheduled/hold/FTS/retry/reversal processing,real,source-confirmed selected processes; deployed coverage not established,"Selected real worker registrations and local queues; production replica counts, delivery policies and all worker families not reproduced",payouts@4bf3dbf9239feadea6d65ca90c893a988e116173:internal/job; TWIN_SPEC/CODEX_HANDOFF.md:P1.5,ENV2_COMPOSE/docker-compose.yml,runtime_wiring,Missing or incorrectly selected consumers can hide liveness failures,"Selected real worker paths exercised by passing replay19/20, including asynchronous accounting/reversal recovery; strict logical comparison passed",Per-worker coverage beyond selected flows and production queue policy
FTS,transfer creation/routing/bank execution/retry,real,source-confirmed binary; representative bank and routing fixtures,Real transfer and attempt logic; simulator bank responses and synthetic routes rather than full deployed bank fleet,fts@2a09e763116db47a2f28553c677ad73ef8133ebf:internal/transfer/service.go; reports/implementation/BUILD_PROVENANCE.md,ENV2_COMPOSE/build/build-host.sh; ENV2_COMPOSE/config/routes.py,runtime_wiring + synthetic_fixture,"Bank code coverage, retry timings and channel selection differ",Replay19/20 held/terminal transfer checks and strict comparison passed; final-acceptance bank six and route six passed with actual attempts/classifications and zero-egress audits,Gateway/version/channel matrix and additional classification buckets
Ledger,journals/account discovery/balances,real,source-confirmed RX binary/schema selection; source-backed core contracts,Real journal logic and account configuration; synthetic opening balances and discovery accounts; local Postgres deployment,ledger@471ff4d5321b6b99a7965882d18f572a1adf5194:internal/journal/ledger_config/seed_data/shared_account_x.go; reports/implementation/BUILD_PROVENANCE.md; reports/implementation/IMPLEMENTATION_SPEC_RECONCILIATION.md,ENV2_COMPOSE/build/prepare-repos.py; ENV2_COMPOSE/seeds/generator/generate.py,build_wiring + synthetic_fixture,Synthetic opening state and engine topology do not establish production accounting parity,Replay19/20 exact accounting/idempotency/balance checks passed; strict logical comparison passed,Non-merchant balance paths and broader production schema/queue parity
Ledger processes,queue workers and split account scheduler,real,source-confirmed command and queue selectors,Five selected worker queues; split-account scheduler is one-shot rather than demonstrated production cadence,ledger@471ff4d5321b6b99a7965882d18f572a1adf5194:internal/boot/boot.go:693; ledger:pkg/config/config.go; reports/implementation/IMPLEMENTATION_SPEC_RECONCILIATION.md,ENV2_COMPOSE/docker-compose.yml,runtime_wiring,Unmeasured recurring cadence and queue semantics can hide delayed balance changes,Offline selectors passed; final clean boots and selected journal flows passed,Journal-driven non-merchant balance updates and recurring scheduler evidence
CFA,contacts/fund accounts/beneficiary dedupe,real,source-confirmed binary; engine equivalence unproven,MongoDB substitutes for production DocumentDB; local Mongo forwarding entrypoint and synthetic bank metadata,cfa@d488558e162c08e9fa04dff005f27d846ce88ad2; TWIN_SPEC/components.yaml:cfa; reports/implementation/BUILD_PROVENANCE.md,ENV2_COMPOSE/build/cfa-entry.sh; ENV2_COMPOSE/build/build-host.sh,runtime_wiring + synthetic_fixture,"DocumentDB compatibility, indexes and concurrency differences remain",Build and UID10001 public asset reads passed; final suite uses the real service with seeded fixture data,Independent contact/fund-account ownership/dedupe coverage and approved engine/index metadata
x-balances,account selection and Direct balance refresh,real,source-confirmed binary; selected bank family only,Real selected server/worker; synthetic balances and bank API; wider sub-balance/master families incomplete,x-balances@1a21c0f9111da14125d839dc0dfe8d980740f207; TWIN_SPEC/components.yaml:x_balances; reports/implementation/SCHEMA_COMPARISON.md,ENV2_COMPOSE/docker-compose.yml; ENV2_COMPOSE/seeds/generator/generate.py,runtime_wiring + synthetic_fixture,Unwired sub-balance schema and per-bank worker families are outside established scope,Final clean boots and replay19/20 reservation scenarios passed with exact reservation observations,Broader balance-refresh paths and approved sub-balance migration registration
Core datastores,MySQL/Postgres/Mongo/Redis persistence,representative,local engine execution only; deployed versions/topology unknown,"Real local engines; production versions, HA, storage, TLS, isolation and DocumentDB semantics not reproduced",TWIN_SPEC/components.yaml; TWIN_SPEC/configuration-manifest.yaml; reports/implementation/SCHEMA_COMPARISON.md,ENV2_COMPOSE/docker-compose.yml,runtime_wiring,"Local success cannot establish failover, isolation or managed-engine compatibility",Final clean boots and strict repeatable suite passed; full effective/deployed schema parity remains unproven,Schema-only engine/version/index evidence and selected failure-mode tests
LocalStack,SQS/SNS queues and journal delivery,substitute,representative AWS API compatibility,"Emulated SQS/SNS; production visibility timeouts, DLQ policy, IAM and redrive settings unknown",TWIN_SPEC/CODEX_HANDOFF.md:5; TWIN_SPEC/runtime-topology.yaml,ENV2_COMPOSE/seeds/localstack; ENV2_COMPOSE/docker-compose.yml,runtime_wiring + synthetic_fixture,"Emulator behavior can hide redelivery, ordering and IAM failures",Final selected queue-backed suite passed; production queue parity remains unproven,Approved queue settings and broader duplicate/redelivery/DLQ assertions
Kafka broker,FTS status and retry topics,real,real local broker; production broker topology not established,"Single local KRaft broker, plaintext inside isolated network, replication factor one",TWIN_SPEC/route-matrix.yaml:fts_status_propagation.kafka; reports/implementation/ROUTE_SOURCE_EVIDENCE.md,ENV2_COMPOSE/docker-compose.yml,runtime_wiring,No broker HA/security/retention parity claim,"Actual raw FTS consumption observed in retained Kafka runs; Direct passed, Shared failed before Ledger enqueue",Shared job registration/DTO gap and failure/reversal consumption evidence
